S.N,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Country
4,SF,Paris S-G,12,5,2,5,19,15,4,17,24.3,13.3,11.0,0.91,L L L W W,46686,Kylian Mbapp̩ - 8,Gianluigi Donnarumma,fr
19,GR,Lens,6,2,2,2,6,11,-5,8,6.1,7.5,-1.4,-0.23,W L W D D,37543,"Angelo Fulgini, Elye Wahi - 2",Brice Samba,fr
